Date,Sector,Open,High,Low,Close,Volume,Daily_Change
2023-10-12,NIFTY BANK,44571.55078125,44693.05078125,44530.05078125,44599.19921875,112100,0.06
2023-10-13,NIFTY BANK,44322.05078125,44563.05078125,44203.69921875,44287.94921875,169900,-0.08
2023-10-16,NIFTY BANK,44204.75,44356.94921875,44044.3984375,44225.8984375,140400,0.05
2023-10-17,NIFTY BANK,44589.80078125,44589.8515625,44336.94921875,44409.5,120500,-0.4
2023-10-18,NIFTY BANK,44404.19921875,44412.5,43861.44921875,43888.69921875,217200,-1.16
2023-10-19,NIFTY BANK,43616.75,44058.80078125,43558.1015625,43754.5,156600,0.32
2023-10-20,NIFTY BANK,43584.25,43877.5,43567.44921875,43723.05078125,152400,0.32
2023-10-23,NIFTY BANK,43822.69921875,43831.30078125,43029.44921875,43151.19921875,201400,-1.53
2023-10-25,NIFTY BANK,43308.30078125,43397.44921875,42758.3984375,42832.0,188300,-1.1
2023-10-26,NIFTY BANK,42708.3984375,42716.19921875,42105.3984375,42280.1484375,307100,-1.0
2023-10-27,NIFTY BANK,42555.6015625,42840.1484375,42482.75,42782.0,213900,0.53
2023-10-30,NIFTY BANK,42721.3984375,43112.5,42390.5,43039.1484375,189000,0.74
2023-10-31,NIFTY BANK,43356.8515625,43356.8515625,42797.1484375,42845.94921875,157400,-1.18
2023-11-01,NIFTY BANK,42694.25,42815.1484375,42589.6484375,42700.94921875,145200,0.02
2023-11-02,NIFTY BANK,43018.69921875,43271.5,42796.44921875,43017.19921875,144700,-0.0
2023-11-03,NIFTY BANK,43318.30078125,43416.1015625,43221.0,43318.25,124100,-0.0
2023-11-06,NIFTY BANK,43627.75,43648.69921875,43415.19921875,43619.3984375,149900,-0.02
2023-11-07,NIFTY BANK,43598.8515625,43799.3515625,43283.8515625,43737.8984375,198200,0.32
2023-11-08,NIFTY BANK,43791.80078125,43797.55078125,43547.75,43658.6484375,163400,-0.3
2023-11-09,NIFTY BANK,43626.1015625,43876.75,43542.6484375,43683.6015625,108900,0.13
2023-11-10,NIFTY BANK,43543.25,43908.69921875,43504.94921875,43820.1015625,90000,0.64
2023-11-13,NIFTY BANK,43915.1015625,43970.75,43681.3984375,43891.25,169600,-0.05
2023-11-15,NIFTY BANK,44398.44921875,44408.55078125,44164.55078125,44201.69921875,202500,-0.44
2023-11-16,NIFTY BANK,44251.69921875,44420.94921875,44064.1484375,44161.55078125,144300,-0.2
2023-11-17,NIFTY BANK,43656.25,43872.8515625,43513.8515625,43583.94921875,227400,-0.17
2023-11-20,NIFTY BANK,43591.5,43724.0,43450.05078125,43584.94921875,124300,-0.02
2023-11-21,NIFTY BANK,43790.94921875,43790.94921875,43586.44921875,43689.1484375,108200,-0.23
2023-11-22,NIFTY BANK,43663.6015625,43692.5,43230.94921875,43449.6015625,150900,-0.49
2023-11-23,NIFTY BANK,43452.75,43649.6484375,43451.3515625,43577.5,72300,0.29
2023-11-24,NIFTY BANK,43607.3515625,43806.5,43566.1484375,43769.1015625,96800,0.37
2023-11-28,NIFTY BANK,43851.55078125,43960.30078125,43739.80078125,43880.94921875,151200,0.07
2023-11-29,NIFTY BANK,44081.75,44630.3515625,44003.44921875,44566.44921875,152300,1.1
2023-11-30,NIFTY BANK,44711.19921875,44764.80078125,44254.6015625,44481.75,343200,-0.51
2023-12-01,NIFTY BANK,44580.1484375,44951.1015625,44531.75,44814.19921875,204900,0.53
2023-12-04,NIFTY BANK,45671.5,46484.44921875,45484.19921875,46431.3984375,311200,1.66
2023-12-05,NIFTY BANK,46895.8984375,47230.55078125,46653.6484375,47012.25,326100,0.25
2023-12-06,NIFTY BANK,47256.75,47259.8515625,46750.19921875,46834.55078125,244200,-0.89
2023-12-07,NIFTY BANK,46735.3984375,46927.69921875,46507.1484375,46841.3984375,208100,0.23
2023-12-08,NIFTY BANK,46797.19921875,47303.6484375,46793.8984375,47262.0,218300,0.99
2023-12-11,NIFTY BANK,47233.30078125,47588.0,47186.6015625,47314.25,182500,0.17
2023-12-12,NIFTY BANK,47421.69921875,47454.0,47004.05078125,47097.55078125,182000,-0.68
2023-12-13,NIFTY BANK,47190.75,47201.94921875,46886.8984375,47092.25,202300,-0.21
2023-12-14,NIFTY BANK,47567.6484375,47943.6015625,47510.8515625,47732.30078125,193100,0.35
2023-12-15,NIFTY BANK,47939.8984375,48219.94921875,47632.8515625,48143.55078125,313900,0.42
2023-12-18,NIFTY BANK,48068.5,48076.6015625,47806.69921875,47867.69921875,157300,-0.42
2023-12-19,NIFTY BANK,47940.3984375,48017.0,47646.05078125,47870.8984375,189800,-0.14
2023-12-20,NIFTY BANK,48085.3515625,48166.1484375,47202.6484375,47445.30078125,242500,-1.33
2023-12-21,NIFTY BANK,47172.44921875,47932.3984375,46919.69921875,47840.1484375,208000,1.42
2023-12-22,NIFTY BANK,47837.75,48071.3984375,47415.8515625,47491.8515625,165800,-0.72
2023-12-26,NIFTY BANK,47576.3984375,47838.44921875,47411.6484375,47724.8515625,118700,0.31
2023-12-27,NIFTY BANK,47818.5,48347.6484375,47806.69921875,48282.19921875,184900,0.97
2023-12-28,NIFTY BANK,48479.05078125,48636.44921875,48343.1484375,48508.55078125,391100,0.06
2023-12-29,NIFTY BANK,48374.8515625,48477.69921875,48091.8515625,48292.25,174000,-0.17
2024-01-01,NIFTY BANK,48203.44921875,48450.0,48044.1484375,48234.30078125,146900,0.06
2024-01-02,NIFTY BANK,48194.80078125,48223.55078125,47689.80078125,47761.6484375,183200,-0.9
